WeightFraction,Glycerol_mass_g,Water_mass_g,Density_kg_per_m3,Viscosity_Ns_per_m2,Viscosity_cP,SurfaceTension_N_per_m
0,0,79.7512199928246,996.890249910307,0.000892739320466722,0.892739320466722,0.0762
0.21345794656553,17.975305076339,66.234748311487,1048.43861946801,0.00158944500214562,1.58944500214562,0.0762
0.375195712888049,32.8628393257552,54.7256863340805,1090.34992234638,0.00282986911752396,2.82986911752396,0.0762
0.501343152741034,45.23296730567,44.9905992442352,1124.10729558896,0.00503833674344125,5.03833674344125,0.0762
0.60216499907206,55.5976485325472,36.7319432209148,1151.41972102396,0.00897032201445619,8.97032201445619,0.0762
0.684422701535297,64.3684755988221,29.6793627537497,1173.7628729677,0.0159708811507467,15.9708811507467,0.0762
0.752716109466696,71.8651118974028,23.6092787707067,1192.29004807273,0.028434769624014,28.434769624014,0.0762
0.810266930457298,78.3338078479749,18.3427377488754,1207.86397312317,0.0506256435149568,50.6256435149568,0.0762
0.859390758750282,83.9647739500257,13.7378986643813,1221.11872112463,0.0901345720656747,90.1345720656747,0.0762
0.901790473722904,88.9060280441512,9.68231440874283,1232.51635050585,0.160476796125091,160.476796125091,0.0762
0.938744008308976,93.2738387100848,6.08641060655837,1242.386882361,0.285715025369853,285.715025369853,0.0762
0.971227806032287,97.16045426208,2.87833546224345,1250.93947705801,0.508690841377188,508.690841377188,0.0762
1,100.6398,0,1257.9975,0.905680009693847,905.680009693847,0.0762
